"lat_bin","lon_bin","geartype","fishing_hours","sst","chlorophyll"
-10.16,136.37,"trawlers",5.44166666666667,29.0699996948242,0.466448251565878
-10.15,136.37,"trawlers",8.18513888888889,29.0699996948242,0.466448251565878
1.24,103.87,"purse_seines",1.28805555555556,NA,3.18986928462982
1.21,103.82,"purse_seines",0.870277777777778,NA,3.18986928462982
2.91,132.42,"purse_seines",0.87375,28.0299987792969,0.174654507490455
2.92,132.42,"purse_seines",0.410972222222222,28.0299987792969,0.174654507490455
2.93,132.42,"purse_seines",0.275,28.0299987792969,0.174654507490455
2.96,132.42,"purse_seines",1.25847222222222,28.0299987792969,0.174654507490455
1.21,103.82,"purse_seines",0.5125,NA,3.18986928462982
2.63,103.91,"trawlers",1.77722222222222,28.6299991607666,1.32980198945318
2.64,103.93,"trawlers",1.18111111111111,28.6299991607666,1.32980198945318
2.66,103.95,"trawlers",0.549722222222222,28.6299991607666,1.32980198945318
2.66,103.97,"trawlers",7.73458333333333,28.6299991607666,1.32980198945318
2.68,103.95,"trawlers",0.6075,28.6299991607666,1.32980198945318
2.68,103.96,"trawlers",8.71472222222222,28.6299991607666,1.32980198945318
2.69,103.72,"trawlers",3.99444444444444,NA,1.32980198945318
2.69,103.97,"trawlers",1.76722222222222,28.6299991607666,1.32980198945318
2.69,103.73,"purse_seines",1.25402777777778,NA,1.32980198945318
2.69,103.95,"trawlers",0.374305555555556,28.6299991607666,1.32980198945318
2.69,103.96,"trawlers",0.38375,28.6299991607666,1.32980198945318
2.7,103.96,"trawlers",6.93416666666667,28.6299991607666,1.32980198945318
2.7,103.95,"trawlers",1.30986111111111,28.6299991607666,1.32980198945318
2.72,103.7,"trawlers",0.295694444444444,NA,1.32980198945318
2.72,103.85,"trawlers",4.38638888888889,28.6299991607666,1.32980198945318
2.73,103.71,"purse_seines",0.390555555555556,NA,1.32980198945318
2.73,103.69,"trawlers",0.359027777777778,NA,1.32980198945318
2.73,103.71,"trawlers",3.01513888888889,NA,1.32980198945318
2.73,103.86,"trawlers",0.966805555555556,28.6299991607666,1.32980198945318
2.73,103.7,"trawlers",2.72388888888889,NA,1.32980198945318
2.74,103.86,"trawlers",0.676111111111111,28.6299991607666,1.32980198945318
2.74,103.81,"trawlers",0.298333333333333,28.6299991607666,1.32980198945318
2.74,103.69,"trawlers",2.35583333333333,NA,1.32980198945318
2.74,103.7,"purse_seines",6.71583333333333,NA,1.32980198945318
2.74,103.87,"trawlers",0.97625,28.6299991607666,1.32980198945318
2.74,103.72,"trawlers",5.71916666666667,NA,1.32980198945318
2.74,103.7,"trawlers",7.90111111111111,NA,1.32980198945318
2.74,103.71,"trawlers",0.281527777777778,NA,1.32980198945318
2.74,103.79,"trawlers",0.5175,28.6299991607666,1.32980198945318
2.74,103.82,"trawlers",0.290694444444444,28.6299991607666,1.32980198945318
2.74,103.84,"trawlers",0.505555555555556,28.6299991607666,1.32980198945318
2.75,103.69,"purse_seines",4.73444444444444,28.7899990081787,1.32980198945318
2.75,103.71,"trawlers",1.26083333333333,28.7899990081787,1.32980198945318
2.75,103.7,"purse_seines",0.374861111111111,28.7899990081787,1.32980198945318
2.75,103.79,"trawlers",0.332638888888889,28.5399990081787,1.32980198945318
2.75,103.69,"trawlers",11.8615277777778,28.7899990081787,1.32980198945318
2.75,103.7,"trawlers",7.73652777777778,28.7899990081787,1.32980198945318
2.76,103.78,"trawlers",0.362222222222222,28.5399990081787,1.32980198945318
2.76,103.69,"trawlers",1.36305555555556,28.7899990081787,1.32980198945318
2.76,103.7,"trawlers",4.58388888888889,28.7899990081787,1.32980198945318
2.76,103.72,"trawlers",0.536805555555556,28.7899990081787,1.32980198945318
2.77,103.68,"purse_seines",7.43152777777778,28.7899990081787,1.32980198945318
2.77,103.69,"purse_seines",1.33527777777778,28.7899990081787,1.32980198945318
2.77,103.76,"trawlers",0.858333333333333,28.5399990081787,1.32980198945318
2.77,103.75,"trawlers",0.591111111111111,28.5399990081787,1.32980198945318
2.77,103.7,"trawlers",5.54472222222222,28.7899990081787,1.32980198945318
2.77,103.72,"trawlers",0.500972222222222,28.7899990081787,1.32980198945318
2.78,103.75,"trawlers",1.02944444444444,28.5399990081787,1.32980198945318
2.78,103.69,"trawlers",5.25972222222222,28.7899990081787,1.32980198945318
2.78,103.73,"trawlers",0.559027777777778,28.7899990081787,1.32980198945318
4.59,113.91,"trawlers",0.916388888888889,27.5100002288818,0.776484023568765
4.69,114.03,"trawlers",0.625972222222222,27.5900001525879,1.31839961900065
4.69,114.02,"trawlers",0.251666666666667,27.5900001525879,1.31839961900065
4.7,114,"trawlers",1.04138888888889,27.5900001525879,1.31839961900065
4.71,114.01,"trawlers",0.374583333333333,27.5900001525879,1.31839961900065
4.71,113.99,"trawlers",0.665416666666667,27.5100002288818,0.776484023568765
7.96,98.53,"fixed_gear",0.963055555555556,29.2299995422363,0.507667002000837
7.96,98.52,"fixed_gear",0.467777777777778,29.2299995422363,0.507667002000837
7.97,98.52,"fixed_gear",0.69875,29.2299995422363,0.507667002000837
7.97,98.53,"fixed_gear",0.417222222222222,29.2299995422363,0.507667002000837
7.98,98.51,"fixed_gear",2.48180555555556,29.2299995422363,0.507667002000837
7.98,98.52,"fixed_gear",2.17125,29.2299995422363,0.507667002000837
7.99,98.51,"fixed_gear",8.48069444444445,29.2299995422363,0.507667002000837
