"","lat_bin","lon_bin","geartype","fishing_hours"
"1",-10.23,135.44,"trawlers",3.02055555555556
"2",-10.22,135.42,"trawlers",0.220694444444444
"3",-10.22,135.39,"trawlers",0.658472222222222
"4",-10.22,135.41,"trawlers",0.179166666666667
"5",-10.21,130.18,"drifting_longlines",6.99111111111111
"45",-13.84,124.01,"drifting_longlines",0.25
"46",-13.83,124.03,"drifting_longlines",0.195694444444444
"47",-13.83,123.97,"drifting_longlines",0.337638888888889
"48",-13.79,123.94,"drifting_longlines",0.837638888888889
"49",-13.79,123.95,"drifting_longlines",2.27097222222222
"50",-10.38,130.09,"drifting_longlines",10.6365277777778
"51",-10.34,135.55,"trawlers",4.83138888888889
"52",-10.33,135.7,"trawlers",5.0525
"53",-10.32,135.23,"trawlers",0.441388888888889
"54",-10.31,135.28,"trawlers",0.179166666666667
"55",-10.31,135.2,"trawlers",3.11652777777778
"56",-10.31,135.26,"trawlers",0.488055555555556
"57",-10.3,135.28,"trawlers",0.224861111111111
"58",-10.29,135.3,"trawlers",3.00458333333333
"59",-10.26,135.35,"trawlers",2.91277777777778
"140",5.12,138.23,"purse_seines",0.474722222222222
"141",5.12,138.24,"purse_seines",0.862361111111111
"144",5.13,138.24,"purse_seines",1.57597222222222
"216",-7.2,112.72,"drifting_longlines",0.397222222222222
"220",5.61,95.29,"purse_seines",0.385
"223",-7.19,112.7,"drifting_longlines",0.797361111111111
"225",5.62,95.29,"fixed_gear",0.708194444444444
"227",5.62,95.3,"fixed_gear",0.291527777777778
"230",5.63,95.3,"fixed_gear",0.333333333333333
"233",5.63,95.33,"fixed_gear",0.331805555555556
"234",5.63,95.31,"fixed_gear",0.290972222222222
"235",5.63,95.29,"fixed_gear",0.375
"236",5.63,95.32,"fixed_gear",1.32180555555556
"238",5.64,95.31,"fixed_gear",1.25305555555556
"239",5.64,95.3,"fixed_gear",0.667361111111111
"243",5.65,95.31,"fixed_gear",0.333055555555556
"273",1.18,103.85,"purse_seines",0.129027777777778
"288",1.21,103.57,"fixed_gear",12.9140277777778
"292",1.22,103.58,"fixed_gear",10.6276388888889
"399",-13.99,93.11,"drifting_longlines",0.319444444444444
"400",-13.96,93.05,"drifting_longlines",0.209861111111111
"401",-13.95,93.05,"drifting_longlines",0.0401388888888889
"402",-13.95,93.04,"drifting_longlines",0.208333333333333
"407",-13.92,92.98,"drifting_longlines",0.270555555555556
"408",-13.92,92.99,"drifting_longlines",0.209861111111111
"410",-13.91,92.94,"drifting_longlines",1.70666666666667
"414",-13.9,92.92,"drifting_longlines",0.145416666666667
"415",-13.89,92.92,"drifting_longlines",0.26
"418",-13.87,92.9,"drifting_longlines",0.4375
"419",-13.87,92.87,"drifting_longlines",0.166944444444444
"420",-13.87,92.88,"drifting_longlines",0.301944444444444
"422",-13.86,92.86,"drifting_longlines",0.223194444444444
"423",-13.85,92.85,"drifting_longlines",0.197222222222222
"424",-13.84,92.83,"drifting_longlines",0.235972222222222
"425",-13.84,92.85,"drifting_longlines",0.429444444444444
"427",-13.83,92.82,"drifting_longlines",0.126527777777778
"428",-13.83,92.81,"drifting_longlines",0.147083333333333
"429",-13.82,92.8,"drifting_longlines",0.122222222222222
"431",-13.81,92.78,"drifting_longlines",0.104444444444444
"432",-13.81,92.79,"drifting_longlines",0.2025
"434",-13.8,92.77,"drifting_longlines",1.02486111111111
"435",-13.79,92.76,"drifting_longlines",0.167777777777778
"436",-13.79,92.74,"drifting_longlines",0.0809722222222222
"437",-13.79,92.75,"drifting_longlines",0.116388888888889
"440",-13.78,92.73,"drifting_longlines",0.327083333333333
"441",-13.78,92.71,"drifting_longlines",1.64847222222222
"442",-13.78,92.74,"drifting_longlines",0.09125
"443",-13.78,92.7,"drifting_longlines",0.331944444444444
"444",-13.77,92.72,"drifting_longlines",0.487222222222222
"445",-13.77,92.71,"drifting_longlines",1.42666666666667
"453",6.82,141.16,"purse_seines",0.153888888888889
"457",6.87,141.16,"purse_seines",3.58083333333333
"458",6.87,141.17,"purse_seines",1.83416666666667
"459",6.87,141.18,"purse_seines",1.52680555555556
"461",6.88,141.16,"purse_seines",0.697083333333333
"563",2.64,103.95,"trawlers",12.7984722222222
"565",2.65,103.97,"trawlers",4.46416666666667
"566",2.67,103.89,"trawlers",0.334027777777778
"572",2.72,103.82,"trawlers",0.399583333333333
"573",2.72,103.83,"trawlers",0.6425
"574",2.73,103.92,"trawlers",3.23513888888889
"575",2.73,103.81,"trawlers",2.37319444444444
"579",2.74,103.93,"trawlers",4.90763888888889
"592",3.79,103.37,"trawlers",0.434305555555556
