"lat_bin","lon_bin","geartype","fishing_hours"
-12.45,130.78,"fixed_gear",0.824166666666667
-12.44,130.77,"fixed_gear",0.6725
-12.42,130.77,"fixed_gear",0.771944444444445
-7.54,136.93,"trawlers",13.0590277777778
-7.54,137.05,"trawlers",5.12402777777778
-7.53,137.12,"trawlers",3.65347222222222
-8.25,136.56,"trawlers",1.91083333333333
-8.24,136.56,"trawlers",4.51875
-8.23,136.57,"trawlers",4.92805555555555
-8.2,136.56,"trawlers",1.38569444444444
-8.14,136.56,"trawlers",1.84861111111111
-8.13,136.56,"trawlers",0.938055555555556
-8.07,136.62,"trawlers",19.9534722222222
-8.05,136.58,"trawlers",7.74777777777778
-8.03,136.56,"trawlers",1.82805555555556
-8.01,136.68,"trawlers",11.7251388888889
-7.93,136.65,"trawlers",1.58097222222222
-7.92,136.56,"trawlers",1.84013888888889
-7.87,136.62,"trawlers",0.667777777777778
-7.86,136.62,"trawlers",0.254444444444444
-7.85,136.59,"trawlers",1.86319444444444
-7.85,136.61,"trawlers",1.16319444444444
-7.84,136.59,"trawlers",0.943472222222222
-7.83,136.57,"trawlers",1.84805555555556
-7.8,136.6,"trawlers",5.90888888888889
-7.8,136.61,"trawlers",0.308333333333333
-7.79,136.67,"trawlers",17.5209722222222
-7.78,136.64,"trawlers",3.04569444444444
-7.78,136.68,"trawlers",3.66833333333333
1.31,103.72,"purse_seines",2.07194444444444
1.21,103.83,"trawlers",0.335694444444444
1.21,103.82,"trawlers",0.314305555555556
-6.05,107.94,"trawlers",4.44583333333333
-5.96,107.93,"trawlers",4.95
-8.51,116.79,"trawlers",5.43444444444444
1.3,103.72,"purse_seines",0.137083333333333
6.22,134.16,"drifting_longlines",14.4206944444444
6.29,134.09,"drifting_longlines",9.44069444444444
6.37,133.96,"drifting_longlines",2.29625
