"","lat_bin","lon_bin","geartype","fishing_hours"
"3",-12.56,124.75,"drifting_longlines",10.7
"4",-9.97,135.05,"trawlers",4.42305555555556
"5",-9.96,129.9,"trawlers",2.48444444444444
"6",-12.51,124.77,"drifting_longlines",4.04569444444444
"7",-12.49,124.8,"drifting_longlines",0.891666666666667
"8",-12.48,124.9,"drifting_longlines",6.71638888888889
"11",-9.76,136.35,"trawlers",7.27916666666667
"13",-10.42,128.61,"drifting_longlines",8.16347222222222
"14",-10.42,128.5,"drifting_longlines",11.6869444444444
"17",-10.27,128.61,"drifting_longlines",7.13194444444444
"18",-10.26,130.13,"trawlers",1.24041666666667
"42",1.33,103.61,"trawlers",0.429305555555556
"56",5.56,95.31,"fixed_gear",0.958333333333333
"61",5.58,95.31,"fixed_gear",1.04194444444444
"94",1.18,103.86,"purse_seines",8.525
"120",1.21,103.82,"purse_seines",0.28625
"126",1.22,103.8,"purse_seines",0.362361111111111
"134",1.25,103.77,"purse_seines",0.354444444444444
"178",-5.96,105.99,"drifting_longlines",0.662361111111111
"190",-2.52,89.03,"drifting_longlines",2.86847222222222
"191",-2.51,88.94,"drifting_longlines",1.00236111111111
"193",-2.49,88.94,"drifting_longlines",0.354166666666667
"194",-2.46,88.94,"drifting_longlines",0.357083333333333
"195",-2.44,88.94,"drifting_longlines",0.370833333333333
"196",-2.41,88.94,"drifting_longlines",0.372222222222222
"198",-2.4,89.4,"drifting_longlines",3.8975
"199",-2.4,89.37,"drifting_longlines",0.398472222222222
"200",-2.4,89.35,"drifting_longlines",0.282083333333333
"202",-2.39,89.29,"drifting_longlines",1.00236111111111
"203",-2.39,89.31,"drifting_longlines",0.362361111111111
"204",-2.39,89.33,"drifting_longlines",0.312777777777778
"205",-2.39,88.93,"drifting_longlines",0.25
"207",-2.38,89.28,"drifting_longlines",0.363888888888889
"208",-2.38,89.34,"drifting_longlines",0.348472222222222
"210",-2.37,88.93,"drifting_longlines",3.63625
"211",-2.36,89.24,"drifting_longlines",2.21083333333333
"212",-2.35,89,"drifting_longlines",2.02069444444444
"213",-4.9,88.73,"drifting_longlines",5.55638888888889
"214",-2.33,88.91,"drifting_longlines",1.82194444444444
"215",-2.32,88.91,"drifting_longlines",0.0530555555555556
"216",-2.31,88.91,"drifting_longlines",3.57902777777778
"217",-2.28,89.03,"drifting_longlines",1.94041666666667
"218",-2.28,89,"drifting_longlines",0.382083333333333
"220",-2.26,89.02,"drifting_longlines",0.342638888888889
"221",-2.26,89.01,"drifting_longlines",0.370833333333333
"222",-2.25,89.02,"drifting_longlines",0.351111111111111
"223",-2.23,89.03,"drifting_longlines",0.294583333333333
"224",-2.22,89,"drifting_longlines",0.365
"225",-2.21,89.04,"drifting_longlines",0.5175
"226",-2.16,89.04,"drifting_longlines",0.585972222222222
"227",-2.15,89,"drifting_longlines",0.330555555555556
"228",-4.67,88.69,"drifting_longlines",4.00361111111111
"229",-2.09,89.44,"drifting_longlines",3.68375
"230",-2.08,89.44,"drifting_longlines",2.05541666666667
"231",-4.63,88.68,"drifting_longlines",0.537916666666667
"232",-4.61,88.68,"drifting_longlines",0.381805555555556
"234",-4.58,88.68,"drifting_longlines",0.344444444444444
"235",-4.56,88.68,"drifting_longlines",0.309722222222222
"236",-4.54,88.68,"drifting_longlines",0.844166666666667
"237",-4.46,88.67,"drifting_longlines",3.42777777777778
"238",-1.9,85.48,"drifting_longlines",0.349166666666667
"239",-1.89,85.46,"drifting_longlines",0.309722222222222
"240",-1.89,85.48,"drifting_longlines",4.10111111111111
"241",-1.87,85.39,"drifting_longlines",0.31375
"242",-1.85,85.44,"drifting_longlines",0.510555555555556
"244",-1.84,85.33,"drifting_longlines",0.567916666666667
"245",-4.39,88.63,"drifting_longlines",2.01916666666667
"246",-1.78,85.21,"drifting_longlines",2.20680555555556
"248",-4.32,88.62,"drifting_longlines",0.393194444444444
"250",-4.26,88.61,"drifting_longlines",0.325138888888889
"251",-4.21,88.6,"drifting_longlines",0.28875
