"","lat_bin","lon_bin","geartype","fishing_hours"
"1",-10.24,129.65,"trawlers",2.85875
"2",-10.24,129.67,"trawlers",4.74625
"3",-10.22,129.68,"trawlers",0.979166666666667
"4",-10.21,129.68,"trawlers",0.45875
"6",-10.2,129.67,"trawlers",0.516527777777778
"7",-10.18,129.68,"trawlers",0.279166666666667
"8",-10.17,129.68,"trawlers",0.216805555555556
"9",-10.17,129.69,"trawlers",0.487916666666667
"10",-10.1,135.38,"trawlers",11.6170833333333
"11",-10.09,135.38,"trawlers",0.191666666666667
"12",-10.08,135.36,"trawlers",0.508055555555556
"13",-10.07,135.33,"trawlers",12.1830555555556
"14",-9.86,135.89,"trawlers",5.17930555555556
"15",-9.86,135.91,"trawlers",1.11236111111111
"17",-9.74,135.68,"trawlers",10.3298611111111
"18",-9.66,135.95,"trawlers",5.86222222222222
"21",-10.29,129.7,"trawlers",3.48458333333333
"22",-10.28,129.71,"trawlers",2.65027777777778
"52",1.33,103.61,"trawlers",5.25097222222222
"58",5.36,136.37,"drifting_longlines",0.258888888888889
"59",5.37,136.37,"drifting_longlines",0.116666666666667
"60",5.38,136.36,"drifting_longlines",0.304583333333333
"61",5.44,136.35,"drifting_longlines",0.918333333333333
"62",5.5,135.96,"drifting_longlines",5.47805555555556
"64",5.58,136.27,"drifting_longlines",3.68958333333333
"68",5.7,135.96,"drifting_longlines",0.6675
"69",5.75,135.96,"drifting_longlines",3.22583333333333
"104",5.01,136.46,"drifting_longlines",0.479444444444444
"117",-7.06,113.94,"drifting_longlines",0.211388888888889
"141",1.21,103.58,"fixed_gear",0.769722222222222
"143",1.21,103.59,"fixed_gear",0.888611111111111
"161",1.29,103.73,"purse_seines",0.273194444444444
"163",1.3,103.72,"purse_seines",2.40930555555556
"184",-3.58,106.37,"drifting_longlines",0.375277777777778
"190",-6.08,106.89,"drifting_longlines",0.613611111111111
"228",-5.59,110.91,"drifting_longlines",1.30069444444444
"229",2.1,101.84,"drifting_longlines",0.365416666666667
"275",1.04,141.49,"purse_seines",0.407083333333333
"277",1.04,141.36,"purse_seines",0.137361111111111
"279",1.04,141.48,"purse_seines",0.125
"283",1.05,141.46,"purse_seines",0.471944444444444
"284",1.05,141.5,"purse_seines",0.9025
"286",1.05,141.48,"purse_seines",0.583333333333333
"287",1.05,141.37,"purse_seines",0.133055555555556
"288",1.05,141.47,"purse_seines",1.15375
"292",1.06,141.45,"purse_seines",2.52069444444444
"293",1.06,141.46,"purse_seines",0.693888888888889
"296",1.07,141.38,"purse_seines",0.172222222222222
"301",1.08,141.28,"purse_seines",0.125
"303",1.08,141.37,"purse_seines",0.0754166666666667
"307",1.09,141.29,"purse_seines",0.227222222222222
"308",1.09,141.37,"purse_seines",0.0515277777777778
"311",1.09,141.32,"purse_seines",0.200138888888889
"312",1.1,141.38,"purse_seines",1.93083333333333
"313",1.1,141.39,"purse_seines",0.898472222222222
"316",1.1,141.37,"purse_seines",1.17138888888889
"322",1.11,141.39,"purse_seines",2.4475
"324",1.11,141.36,"purse_seines",2.30986111111111
"325",1.12,141.38,"purse_seines",0.680416666666667
"326",1.12,141.37,"purse_seines",0.354027777777778
"329",1.13,141.37,"purse_seines",0.358472222222222
"330",1.13,141.36,"purse_seines",0.918055555555556
"336",1.14,141.35,"purse_seines",0.864166666666667
"340",1.14,141.29,"purse_seines",2.30069444444444
"343",1.15,141.35,"purse_seines",0.378611111111111
"344",1.15,141.27,"purse_seines",0.282222222222222
"346",1.15,141.28,"purse_seines",0.324861111111111
"347",1.15,141.29,"purse_seines",0.380277777777778
"349",1.16,141.25,"purse_seines",0.772916666666667
"352",1.16,141.26,"purse_seines",0.441666666666667
"354",1.16,141.27,"purse_seines",0.543055555555556
"364",1.21,141.13,"purse_seines",1.63458333333333
"371",1.22,141.11,"purse_seines",1.63194444444444
"378",1.26,141.15,"purse_seines",1.35236111111111
"379",1.26,141.17,"purse_seines",2.88166666666667
"384",1.27,141.14,"purse_seines",0.844583333333333
"385",1.28,141.14,"purse_seines",1.66111111111111
"390",1.33,141.56,"purse_seines",0.44625
"394",1.34,141.56,"purse_seines",0.438888888888889
"395",1.34,141.43,"purse_seines",0.790833333333333
"397",1.34,141.55,"purse_seines",0.410694444444444
"398",1.34,141.44,"purse_seines",1.76097222222222
"401",1.35,141.45,"purse_seines",0.211944444444444
"402",1.35,141.55,"purse_seines",2.33916666666667
"403",1.35,141.44,"purse_seines",0.517638888888889
"422",1.41,141.49,"purse_seines",2.28625
"425",1.42,141.44,"purse_seines",0.449166666666667
"427",1.42,141.48,"purse_seines",0.641388888888889
"430",1.43,141.44,"purse_seines",0.194722222222222
"434",1.43,141.48,"purse_seines",0.334305555555556
"448",-8.53,119.62,"drifting_longlines",0.0833333333333333
"450",-8.52,119.63,"drifting_longlines",0.145833333333333
"451",-8.51,119.62,"drifting_longlines",0.21875
"453",-8.48,119.63,"drifting_longlines",0.15625
"483",-0.52,141.84,"purse_seines",0.342916666666667
"485",-0.51,141.78,"purse_seines",0.15625
"487",-0.51,141.8,"purse_seines",1.33597222222222
"490",-0.51,141.79,"purse_seines",0.301527777777778
"492",-0.5,141.82,"purse_seines",0.04125
"493",-0.5,141.81,"purse_seines",0.28875
"495",-0.5,141.8,"purse_seines",2.60694444444444
"496",-0.48,141.71,"purse_seines",0.345833333333333
"498",-0.48,141.72,"purse_seines",2.52375
"499",-0.47,141.7,"purse_seines",0.781944444444444
"500",-0.47,141.69,"purse_seines",0.568055555555556
"501",-0.47,141.68,"purse_seines",0.452638888888889
"503",-0.46,141.67,"purse_seines",0.509583333333333
"504",7.27,140.44,"purse_seines",4.43972222222222
"505",7.28,140.44,"purse_seines",4.82166666666667
"507",7.32,140.53,"purse_seines",4.37944444444445
"508",7.33,140.53,"purse_seines",1.28583333333333
"509",7.34,140.54,"purse_seines",5.06986111111111
"554",2.63,103.98,"trawlers",2.35847222222222
"556",2.65,103.98,"trawlers",1.42305555555556
"557",2.65,103.97,"trawlers",2.7875
"565",2.69,103.97,"trawlers",1.31652777777778
"567",2.7,103.96,"trawlers",0.331527777777778
"568",2.71,103.82,"trawlers",0.349722222222222
"571",2.71,103.96,"trawlers",0.982361111111111
"572",2.71,103.84,"trawlers",0.4675
"574",2.72,103.95,"trawlers",0.449722222222222
"575",2.73,103.88,"trawlers",0.488611111111111
"576",2.73,103.83,"trawlers",0.280138888888889
"577",2.73,103.85,"trawlers",0.395138888888889
"579",2.73,103.81,"trawlers",0.578888888888889
"581",2.73,103.97,"trawlers",1.45083333333333
"584",2.73,103.82,"trawlers",0.270833333333333
"586",2.73,103.84,"trawlers",0.833194444444444
"588",2.74,103.89,"trawlers",0.275
"590",2.74,103.84,"trawlers",0.484027777777778
"591",2.74,103.8,"trawlers",0.263055555555556
"595",2.74,103.9,"trawlers",0.326805555555556
"598",2.74,103.96,"trawlers",0.604444444444444
"600",2.74,103.86,"trawlers",1.13305555555556
"601",2.75,103.93,"trawlers",4.06763888888889
"603",2.75,103.94,"trawlers",8.65805555555556
"604",2.75,103.91,"trawlers",1.075
"605",2.75,103.71,"trawlers",5.08597222222222
"606",2.75,103.8,"trawlers",0.461527777777778
"607",2.76,103.8,"trawlers",0.4775
"608",2.76,103.94,"trawlers",8.41541666666667
"609",2.77,103.93,"trawlers",7.15833333333333
"611",2.77,103.82,"trawlers",3.12986111111111
"612",2.79,103.79,"trawlers",5.46125
"613",2.8,103.84,"trawlers",2.01277777777778
"638",3.93,131.25,"purse_seines",0.272083333333333
"676",7.96,98.47,"fixed_gear",0.538055555555556
"685",-5.41,86.28,"drifting_longlines",1.285
"686",-5.37,86.1,"drifting_longlines",0.637638888888889
"687",-5.37,86.07,"drifting_longlines",0.281944444444444
"688",-5.35,86,"drifting_longlines",0.441666666666667
"689",-5.33,85.9,"drifting_longlines",0.20125
"690",-5.33,85.93,"drifting_longlines",0.306805555555556
"691",-5.31,85.84,"drifting_longlines",0.0393055555555556
"692",-5.31,85.86,"drifting_longlines",0.146111111111111
"693",-5.31,85.85,"drifting_longlines",0.0690277777777778
"694",-5.31,85.83,"drifting_longlines",0.162777777777778
"695",-5.3,85.79,"drifting_longlines",0.779861111111111
