"","lat_bin","lon_bin","geartype","fishing_hours"
"8",-12.57,125.02,"drifting_longlines",8.60208333333333
"9",-12.48,124.78,"drifting_longlines",11.7129166666667
"28",-13.56,124.24,"drifting_longlines",1.41944444444444
"111",1.18,103.67,"purse_seines",0.308333333333333
"113",1.19,103.67,"purse_seines",0.3075
"126",1.26,103.82,"purse_seines",1.12097222222222
"129",1.29,103.74,"purse_seines",1.22888888888889
"130",1.3,103.72,"purse_seines",0.466388888888889
"131",1.31,103.72,"purse_seines",1.8375
"138",1.21,103.82,"purse_seines",5.21777777777778
"164",1.29,103.72,"purse_seines",2.7325
"169",1.3,103.72,"purse_seines",0.25
"181",-8.51,116.81,"trawlers",0.436666666666667
"186",-0.41,117.66,"trawlers",4.0425
"191",-10.23,90.28,"drifting_longlines",1.35416666666667
"192",-10.22,90.26,"drifting_longlines",5.99569444444444
"196",-12.72,87.35,"drifting_longlines",2.49041666666667
"200",-12.68,87.4,"drifting_longlines",0.344583333333333
"205",-12.64,87.46,"drifting_longlines",0.160972222222222
"206",-12.64,87.45,"drifting_longlines",0.183194444444444
"210",-12.6,87.51,"drifting_longlines",0.0779166666666667
"211",-12.6,87.5,"drifting_longlines",0.165277777777778
"212",-12.59,87.52,"drifting_longlines",0.127777777777778
"216",-12.56,87.55,"drifting_longlines",0.1875
"217",-12.55,87.44,"drifting_longlines",2.50541666666667
"218",-12.55,87.57,"drifting_longlines",0.159583333333333
"219",-12.54,87.46,"drifting_longlines",0.227916666666667
"220",-12.53,87.46,"drifting_longlines",0.139027777777778
"221",-12.52,87.49,"drifting_longlines",0.15625
"222",-12.52,87.48,"drifting_longlines",0.153888888888889
"223",-12.52,87.6,"drifting_longlines",0.133194444444444
"224",-12.51,87.5,"drifting_longlines",0.226944444444444
"225",-12.51,87.61,"drifting_longlines",0.171111111111111
"226",-12.5,87.52,"drifting_longlines",0.135972222222222
"227",-12.5,87.51,"drifting_longlines",0.134583333333333
"228",-12.5,87.53,"drifting_longlines",0.188472222222222
"229",-12.49,87.55,"drifting_longlines",0.241666666666667
"230",-12.48,87.56,"drifting_longlines",0.130694444444444
"231",-12.48,87.65,"drifting_longlines",0.16
"232",-12.48,87.57,"drifting_longlines",0.256666666666667
"233",-12.47,87.58,"drifting_longlines",0.259305555555556
"234",-12.47,87.66,"drifting_longlines",0.166527777777778
"235",-12.46,87.6,"drifting_longlines",0.279166666666667
"236",-12.46,87.59,"drifting_longlines",0.154166666666667
"237",-12.44,87.62,"drifting_longlines",3.77402777777778
"238",-12.44,87.7,"drifting_longlines",0.165138888888889
"239",-12.43,87.71,"drifting_longlines",0.07375
"240",-12.42,87.73,"drifting_longlines",0.155555555555556
"242",-12.4,87.76,"drifting_longlines",0.134722222222222
"243",-12.39,87.77,"drifting_longlines",0.172361111111111
"244",-12.35,87.81,"drifting_longlines",0.333194444444444
"246",-12.31,87.87,"drifting_longlines",0.355555555555556
"251",-12.27,87.92,"drifting_longlines",0.195972222222222
"253",-12.26,87.93,"drifting_longlines",0.0776388888888889
"254",-12.25,87.94,"drifting_longlines",0.791527777777778
"260",-12.15,88.05,"drifting_longlines",3.65847222222222
"261",-12.14,88.11,"drifting_longlines",2.26347222222222
"262",-12.14,88.05,"drifting_longlines",0.01625
"263",-12.14,88.06,"drifting_longlines",1.55291666666667
"303",-11.19,86.86,"drifting_longlines",3.38930555555556
"304",-11.19,87.35,"drifting_longlines",0.0805555555555556
"307",-11.18,87.36,"drifting_longlines",0.137361111111111
"309",-11.17,88.18,"drifting_longlines",2.84041666666667
"310",-11.17,88.48,"drifting_longlines",0.341527777777778
"311",-11.17,88.82,"drifting_longlines",0.343194444444444
"312",-11.17,88.54,"drifting_longlines",0.318055555555556
"313",-11.17,88.69,"drifting_longlines",0.259722222222222
"314",-11.17,88.42,"drifting_longlines",0.191805555555556
"315",-11.17,88.29,"drifting_longlines",0.169166666666667
"316",-11.17,88.6,"drifting_longlines",0.333472222222222
"317",-11.17,88.25,"drifting_longlines",0.167777777777778
"318",-11.17,88.8,"drifting_longlines",5.34027777777778
"319",-11.17,88.79,"drifting_longlines",0.180416666666667
"320",-11.17,88.66,"drifting_longlines",0.250277777777778
"321",-11.17,88.43,"drifting_longlines",0.1725
"322",-11.17,88.75,"drifting_longlines",0.3025
"323",-11.17,88.23,"drifting_longlines",0.180694444444444
"324",-11.17,88.31,"drifting_longlines",0.168194444444444
"325",-11.17,88.36,"drifting_longlines",0.324722222222222
"326",-11.16,88.86,"drifting_longlines",2.00916666666667
"327",-11.16,87.28,"drifting_longlines",3.56430555555556
"328",-11.16,87.39,"drifting_longlines",0.180416666666667
"329",-11.16,88.88,"drifting_longlines",0.750138888888889
"332",-11.14,87.39,"drifting_longlines",0.194583333333333
"333",-11.14,87.29,"drifting_longlines",0.436111111111111
"335",-11.13,88.16,"drifting_longlines",3.95722222222222
"336",-11.13,88.14,"drifting_longlines",0.288888888888889
"337",-11.12,88.08,"drifting_longlines",0.130416666666667
"338",-11.12,88.1,"drifting_longlines",0.0875
"339",-11.12,88.02,"drifting_longlines",0.174861111111111
"340",-11.12,88.04,"drifting_longlines",0.15
"341",-11.12,87.24,"drifting_longlines",0.0570833333333333
"342",-11.12,87.12,"drifting_longlines",0.14625
"343",-11.12,88.11,"drifting_longlines",0.218194444444444
"344",-11.12,87.18,"drifting_longlines",0.176388888888889
"345",-11.12,87.28,"drifting_longlines",0.340138888888889
"346",-11.12,87.23,"drifting_longlines",0.161111111111111
"347",-11.12,87.1,"drifting_longlines",0.125277777777778
"348",-11.12,88.05,"drifting_longlines",0.164166666666667
"349",-11.12,88.07,"drifting_longlines",0.166666666666667
"350",-11.12,88.09,"drifting_longlines",0.109722222222222
"351",-11.12,87.13,"drifting_longlines",0.147777777777778
"352",-11.12,87.25,"drifting_longlines",0.145972222222222
"353",-11.12,87.3,"drifting_longlines",0.174861111111111
"354",-11.12,87.29,"drifting_longlines",0.123611111111111
"355",-11.12,87.09,"drifting_longlines",0.260277777777778
"356",-11.11,87.21,"drifting_longlines",0.107361111111111
"357",-11.11,87.18,"drifting_longlines",0.132361111111111
"358",-11.11,87.22,"drifting_longlines",0.110972222222222
"359",-11.11,87.37,"drifting_longlines",0.172361111111111
"360",-11.11,86.98,"drifting_longlines",0.191527777777778
"361",-11.11,87.99,"drifting_longlines",0.155555555555556
"362",-11.11,87.35,"drifting_longlines",0.190138888888889
"363",-11.11,87.11,"drifting_longlines",0.177638888888889
"364",-11.11,88.01,"drifting_longlines",0.152638888888889
"365",-11.11,87.16,"drifting_longlines",0.214444444444444
"366",-11.11,88,"drifting_longlines",0.16375
"367",-11.11,87,"drifting_longlines",0.173472222222222
"368",-11.11,87.17,"drifting_longlines",0.190555555555556
"369",-11.11,87.2,"drifting_longlines",0.0805555555555555
"370",-11.11,87.19,"drifting_longlines",0.145972222222222
"371",-11.11,87.15,"drifting_longlines",0.152222222222222
"372",-11.11,87.1,"drifting_longlines",0.1525
"373",-11.11,87.06,"drifting_longlines",2.51375
"374",-11.11,86.93,"drifting_longlines",2.65722222222222
"375",-11.11,87.05,"drifting_longlines",0.308472222222222
"376",-11.1,87.24,"drifting_longlines",0.254444444444444
"377",-11.1,87.93,"drifting_longlines",0.1625
"378",-11.1,87.26,"drifting_longlines",0.324861111111111
"379",-11.1,87.96,"drifting_longlines",0.0722222222222222
"380",-11.1,87.95,"drifting_longlines",0.1725
"381",-11.1,87.23,"drifting_longlines",0.161388888888889
"382",-11.1,87.97,"drifting_longlines",0.1375
"383",-11.1,87.92,"drifting_longlines",2.34152777777778
"393",-11.06,88.57,"drifting_longlines",0.177777777777778
"394",-11.06,88.58,"drifting_longlines",0.180694444444444
"395",-11.06,88.27,"drifting_longlines",0.177916666666667
"396",-11.06,88.47,"drifting_longlines",0.179305555555556
"397",-11.06,88.09,"drifting_longlines",2.65888888888889
"398",-11.06,88.51,"drifting_longlines",0.123333333333333
"399",-11.06,88.2,"drifting_longlines",0.169305555555556
"400",-11.06,88.14,"drifting_longlines",0.180555555555556
"401",-11.06,88.44,"drifting_longlines",0.229166666666667
"402",-11.06,88.32,"drifting_longlines",0.319583333333333
"403",-11.06,88.26,"drifting_longlines",0.1625
"404",-11.06,88.39,"drifting_longlines",0.350138888888889
"405",-11.06,88.15,"drifting_longlines",0.167916666666667
"406",-11.06,88.52,"drifting_longlines",0.170694444444444
"407",-11.06,88.21,"drifting_longlines",0.166666666666667
"408",-11.05,88.54,"drifting_longlines",4.42833333333333
"409",-11.03,88.65,"drifting_longlines",0.6775
"410",-11.03,88.62,"drifting_longlines",0.223888888888889
"411",-11.03,88.64,"drifting_longlines",0.345833333333333
"413",-11.02,88.63,"drifting_longlines",1.03402777777778
"414",-11.02,88.64,"drifting_longlines",0.611111111111111
"415",-11,87.89,"drifting_longlines",0.211944444444444
"416",-11,87.92,"drifting_longlines",0.149166666666667
"417",-11,87.87,"drifting_longlines",0.136111111111111
"418",-11,87.86,"drifting_longlines",0.0791666666666667
"419",-11,87.94,"drifting_longlines",0.217361111111111
"420",-11,87.93,"drifting_longlines",0.124861111111111
"421",-11,87.91,"drifting_longlines",0.2025
"422",-11,87.99,"drifting_longlines",3.79430555555556
