"lat_bin","lon_bin","geartype","fishing_hours"
-7.59,136.95,"trawlers",7.10222222222222
-10.12,123.5,"trawlers",8.92777777777778
-7.48,136.88,"trawlers",2.11958333333333
-7.46,136.7,"trawlers",0.937222222222222
-7.46,136.71,"trawlers",0.87875
-7.45,136.8,"trawlers",1.83638888888889
-7.44,136.6,"trawlers",6.40277777777778
-7.43,136.75,"trawlers",0.916388888888889
-7.42,136.75,"trawlers",1.91236111111111
-7.34,136.79,"trawlers",0.971111111111111
-7.34,136.8,"trawlers",7.29166666666667
-7.33,136.89,"trawlers",1.81666666666667
-7.3,136.79,"trawlers",1.79527777777778
-7.26,137.04,"trawlers",0.645555555555556
-7.26,137,"trawlers",0.887222222222222
-7.25,137.04,"trawlers",5.29805555555556
-7.25,136.98,"trawlers",1.18277777777778
-7.25,136.88,"trawlers",1.88680555555556
-7.14,137.51,"trawlers",5.29791666666667
-9.14,123.08,"trawlers",0.901388888888889
-8.92,122.98,"trawlers",9.02152777777778
-6.08,107.83,"trawlers",0.827777777777778
-5.97,107.7,"trawlers",6.66763888888889
-8.48,136.63,"trawlers",5.59833333333333
-8.44,136.61,"trawlers",8.93263888888889
-8.43,136.55,"trawlers",3.68666666666667
-5.86,105.97,"trawlers",2.63736111111111
-5.86,105.92,"trawlers",0.214583333333333
-5.86,105.93,"trawlers",0.228888888888889
-5.86,105.91,"trawlers",0.2175
-5.86,105.96,"trawlers",0.225138888888889
-5.86,105.95,"trawlers",0.230138888888889
-5.85,105.84,"trawlers",0.483472222222222
-8.39,136.52,"trawlers",8.24680555555556
-8.28,136.58,"trawlers",2.10236111111111
-8.25,136.58,"trawlers",0.901388888888889
-8.18,136.54,"trawlers",9.65652777777778
-8.18,136.57,"trawlers",5.92375
-13.19,136.74,"trawlers",5.84597222222222
-13.09,136.78,"trawlers",1.85430555555556
-13.07,136.78,"trawlers",7.99388888888889
-12.48,130.81,"fixed_gear",0.470138888888889
-12.42,130.77,"fixed_gear",1.61138888888889
-12.42,130.75,"fixed_gear",1.09069444444444
6.78,116.23,"fixed_gear",7.33875
5.13,140.1,"drifting_longlines",0.925138888888889
5.14,140.05,"drifting_longlines",3.94166666666667
5.16,140.1,"drifting_longlines",0.895972222222222
5.17,140.25,"drifting_longlines",5.8875
-7.62,91.89,"drifting_longlines",1.80722222222222
5.19,140.22,"drifting_longlines",0.6625
5.2,140.23,"drifting_longlines",0.962222222222222
-7.58,91.9,"drifting_longlines",2.00277777777778
-7.57,95.55,"drifting_longlines",6.13194444444444
5.25,140.4,"drifting_longlines",4.55888888888889
-10.11,89.26,"drifting_longlines",1.82763888888889
-10.11,89.39,"drifting_longlines",1.8125
-7.53,95.59,"drifting_longlines",1.06291666666667
-10.08,89.12,"drifting_longlines",1.71263888888889
-10.06,88.98,"drifting_longlines",0.944444444444444
-10.06,88.97,"drifting_longlines",1.00958333333333
5.33,141.07,"drifting_longlines",4.29125
-10.03,89.48,"drifting_longlines",3.97069444444444
-10.01,89.28,"drifting_longlines",1.01111111111111
-10.01,89.29,"drifting_longlines",3.40777777777778
-9.96,88.86,"drifting_longlines",2.72375
-7.4,95.68,"drifting_longlines",1.80680555555556
-9.94,88.9,"drifting_longlines",2.08097222222222
-9.89,92.92,"drifting_longlines",2.89444444444444
-9.86,88.76,"drifting_longlines",2.92375
-9.83,93.08,"drifting_longlines",3.99277777777778
-9.82,92.94,"drifting_longlines",2.97111111111111
-7.26,95.78,"drifting_longlines",4.7675
-9.74,92.91,"drifting_longlines",1.83333333333333
-9.71,93.05,"drifting_longlines",1.67291666666667
-7.12,112.65,"drifting_longlines",3.21138888888889
-7.12,112.66,"drifting_longlines",0.44375
-7.11,95.84,"drifting_longlines",9.15194444444444
-9.63,93.01,"drifting_longlines",0.919444444444445
-9.63,93.33,"drifting_longlines",3.97388888888889
-9.62,93.22,"drifting_longlines",1.63625
-9.61,93.01,"drifting_longlines",1.07833333333333
-9.6,93.1,"drifting_longlines",2.03347222222222
-9.6,93.12,"drifting_longlines",0.955277777777778
