"","lat_bin","lon_bin","geartype","fishing_hours"
"48",-12.22,128.85,"trawlers",5.93625
"68",-7.67,137.16,"trawlers",2.77541666666667
"69",-7.66,137.16,"trawlers",9.21583333333334
"70",-7.65,137.15,"trawlers",0.69125
"71",-7.65,137.14,"trawlers",0.258055555555556
"72",-7.65,137.11,"trawlers",2.06638888888889
"73",-7.64,137.18,"trawlers",4.23611111111111
"74",-7.63,137.12,"trawlers",1.55833333333333
"75",-7.63,137.13,"trawlers",2.80388888888889
"76",-7.55,136.93,"trawlers",8.22458333333333
"77",-7.55,137.03,"trawlers",3.66583333333333
"78",-7.55,136.91,"trawlers",4.63208333333333
"79",-7.55,136.98,"trawlers",5.77791666666667
"80",-7.55,136.95,"trawlers",3.32777777777778
"81",-7.54,137.06,"trawlers",2.075
"82",-7.54,136.96,"trawlers",1.84972222222222
"83",-7.44,137.25,"trawlers",4.59430555555556
"84",-7.42,137.34,"trawlers",3.58638888888889
"94",-6.78,138.14,"trawlers",13.1069444444444
"95",-6.77,138,"trawlers",16.0373611111111
"96",-6.71,138.15,"trawlers",17.4666666666667
"102",6.74,138.18,"trawlers",0.29625
"103",6.74,138.22,"trawlers",2.39694444444444
"104",6.74,138.16,"trawlers",0.843888888888889
"105",6.74,138.19,"trawlers",0.5225
"106",6.75,138.22,"trawlers",5.82236111111111
"107",6.75,138.17,"trawlers",4.50652777777778
"108",6.92,138,"trawlers",9.66333333333333
"109",-8.19,136.59,"trawlers",5.86666666666667
"110",-8.18,136.59,"trawlers",0.874861111111111
"111",-8.15,136.65,"trawlers",5.54
"112",-8.09,136.57,"trawlers",5.87055555555556
"113",-7.98,136.6,"trawlers",3.55430555555556
"114",-7.92,136.59,"trawlers",5.39958333333333
"116",-7.84,136.62,"trawlers",3.61638888888889
"117",-7.83,136.62,"trawlers",3.73666666666667
"118",-7.77,136.66,"trawlers",1.79972222222222
"119",-7.75,136.75,"trawlers",1.80361111111111
"120",-7.75,136.87,"trawlers",1.83277777777778
"121",-7.75,137.17,"trawlers",4.71208333333333
"122",-7.75,137.16,"trawlers",1.73708333333333
"123",-7.75,136.6,"trawlers",3.60791666666667
"124",-7.75,136.99,"trawlers",2.65763888888889
"125",-7.72,136.85,"trawlers",5.58208333333333
"126",-7.7,137.06,"trawlers",5.84541666666667
"139",-9.45,123.21,"trawlers",11.2329166666667
"140",-9.28,123.14,"trawlers",2.63319444444444
"150",-8.79,122.92,"trawlers",11.1604166666667
"152",-5.92,107.74,"trawlers",11.6930555555556
"154",-5.85,105.87,"trawlers",13.0636111111111
"155",-5.84,105.82,"trawlers",11.7554166666667
"156",-5.82,107.49,"trawlers",8.30819444444444
"161",-7.61,92.06,"drifting_longlines",0.850277777777778
"162",-7.6,91.8,"drifting_longlines",0.848611111111111
"163",-10.11,92.32,"drifting_longlines",4.51527777777778
"164",-10.1,92.37,"drifting_longlines",1.82777777777778
"165",-7.53,91.76,"drifting_longlines",5.78486111111111
"166",-7.51,91.96,"drifting_longlines",5.44277777777778
"167",-7.5,91.99,"drifting_longlines",1.29319444444444
"170",-12.2,92.79,"drifting_longlines",1.82375
"171",-12.19,92.75,"drifting_longlines",4.52902777777778
"172",-12.14,92.66,"drifting_longlines",1.27652777777778
"174",-12.08,92.55,"drifting_longlines",0.880694444444444
"175",-12.03,92.37,"drifting_longlines",0.25625
"176",-12.03,92.38,"drifting_longlines",0.558611111111111
"178",-12.02,92.98,"drifting_longlines",4.53180555555556
"179",-12.01,89.96,"drifting_longlines",2.95541666666667
"180",-12.01,92.26,"drifting_longlines",3.93055555555556
"181",-12.01,93,"drifting_longlines",1.81527777777778
"182",-11.98,92.23,"drifting_longlines",0.367638888888889
"183",-11.97,92.23,"drifting_longlines",0.444861111111111
"184",-11.93,92.18,"drifting_longlines",2.49486111111111
"188",-11.77,92.17,"drifting_longlines",2.94444444444444
"189",-11.76,93.21,"drifting_longlines",1.27236111111111
"190",-11.75,89.83,"drifting_longlines",2.80263888888889
"191",-11.74,89.57,"drifting_longlines",3.37958333333333
"193",-11.69,92.55,"drifting_longlines",2.93263888888889
"194",-11.68,92.85,"drifting_longlines",2.46138888888889
"195",-11.67,89.56,"drifting_longlines",0.782083333333333
"197",-11.66,93.32,"drifting_longlines",3.92597222222222
"198",-11.66,92.87,"drifting_longlines",0.466805555555556
"199",-11.65,93.3,"drifting_longlines",0.864444444444444
"200",-11.65,92.87,"drifting_longlines",0.349305555555555
"201",-11.63,93.31,"drifting_longlines",0.329027777777778
"202",-11.62,92.7,"drifting_longlines",1.02736111111111
"203",-11.62,93.31,"drifting_longlines",0.500138888888889
