"lat_bin","lon_bin","geartype","fishing_hours","sst","chlorophyll"
-9.64,135.78,"trawlers",6.03472222222222,28.2799987792969,0.441262314163095
-9.62,135.85,"trawlers",5.6875,28.2799987792969,0.441262314163095
-9.56,135.87,"trawlers",5.0125,28.2799987792969,0.441262314163095
-9.63,135.9,"trawlers",6.36805555555556,28.2799987792969,0.441262314163095
-11.4,129.98,"trawlers",5.87138888888889,28.9499988555908,0.931501672053948
-11.31,130.01,"trawlers",6.01055555555556,28.8699989318848,2.02012423429657
-10.22,135.42,"trawlers",10.0034722222222,28.2899990081787,0.672605903532011
7.49,141.6,"purse_seines",0.165138888888889,29.8799991607666,0.0741479002882408
7.49,141.61,"purse_seines",0.297083333333333,29.8799991607666,0.0741479002882408
7.5,141.61,"purse_seines",0.341805555555556,29.7899990081787,0.0741479002882408
7.5,141.62,"purse_seines",0.940416666666667,29.7899990081787,0.0741479002882408
7.5,141.63,"purse_seines",0.463472222222222,29.7899990081787,0.0741479002882408
1.26,103.76,"purse_seines",5.3175,NA,2.87084013156677
1.24,103.78,"purse_seines",0.618333333333333,NA,2.87084013156677
1.21,103.83,"purse_seines",0.257777777777778,NA,2.87084013156677
1.18,103.86,"purse_seines",0.288472222222222,NA,2.87084013156677
1.18,103.87,"purse_seines",0.467777777777778,NA,2.87084013156677
1.28,104,"purse_seines",1.37916666666667,30.0900001525879,0.534726397196452
-12.49,124.62,"drifting_longlines",0.754166666666667,28.6499996185303,0.487388958373377
-6.07,106.9,"drifting_longlines",0.39,NA,1.12159140329612
