"","lat_bin","lon_bin","geartype","fishing_hours"
"2",-10.19,129.52,"trawlers",2.25805555555556
"4",-10.17,129.5,"trawlers",0.162638888888889
"5",-10.17,129.52,"trawlers",3.18763888888889
"6",-10.17,129.54,"trawlers",2.65111111111111
"7",-10.16,129.5,"trawlers",0.583888888888889
"8",-10.16,129.51,"trawlers",0.266111111111111
"10",-10.13,129.52,"trawlers",2.02916666666667
"12",-10.11,129.57,"trawlers",2.81666666666667
"13",-10.11,129.58,"trawlers",2.0125
"18",-9.99,129.14,"drifting_longlines",6.32902777777778
"19",-9.97,129.09,"drifting_longlines",10.0401388888889
"20",-9.96,129.13,"drifting_longlines",1.65847222222222
"21",-9.95,129.11,"drifting_longlines",0.462361111111111
"22",-9.95,129.12,"drifting_longlines",0.0916666666666667
"24",-9.9,135.63,"trawlers",5.77277777777778
"25",-9.89,135.61,"trawlers",0.591527777777778
"26",-9.88,135.61,"trawlers",0.454166666666667
"27",-9.88,135.62,"trawlers",6.12916666666667
"28",-9.88,135.55,"trawlers",3.86291666666667
"29",-9.88,135.56,"trawlers",0.495694444444444
"30",-9.87,135.56,"trawlers",4.18027777777778
"31",-12.4,128.86,"trawlers",1.03694444444444
"32",-12.39,128.85,"trawlers",0.204305555555556
"33",-12.39,128.82,"trawlers",1.31152777777778
"34",-12.38,128.85,"trawlers",1.67888888888889
"40",-12.34,128.78,"trawlers",0.620833333333333
"42",-12.33,128.79,"trawlers",1.80402777777778
"43",-12.33,128.82,"trawlers",1.63319444444444
"44",-12.32,128.76,"trawlers",1.28708333333333
"45",-12.31,128.81,"trawlers",0.579166666666667
"46",-12.29,128.77,"trawlers",0.591805555555555
"52",-12.26,128.79,"trawlers",2.12611111111111
"53",-12.26,128.75,"trawlers",0.441805555555556
"56",-12.25,128.74,"trawlers",0.404444444444444
"60",-12.23,128.72,"trawlers",2.37458333333333
"62",-12.22,128.73,"trawlers",1.87125
"65",-12.2,128.7,"trawlers",2.47472222222222
"67",-12.18,128.66,"trawlers",1.975
"68",-12.17,128.66,"trawlers",0.529583333333333
"71",-12.14,128.63,"trawlers",2.26375
"82",-12.06,125.59,"drifting_longlines",4.46263888888889
"83",-12.05,125.56,"drifting_longlines",0.179027777777778
"85",-12.05,125.57,"drifting_longlines",0.216944444444444
"87",-12.03,125.55,"drifting_longlines",0.599583333333333
"88",-12.03,125.6,"drifting_longlines",4.57
"93",-12,125.64,"drifting_longlines",6.44111111111111
"95",-11.97,125.63,"drifting_longlines",3.9875
"96",-11.94,125.59,"drifting_longlines",3.87916666666667
"97",-11.92,125.59,"drifting_longlines",0.311388888888889
"99",-11.92,125.6,"drifting_longlines",2.45875
"119",-10.59,133.3,"trawlers",3.22277777777778
"120",-10.58,133.38,"trawlers",0.587361111111111
"121",-10.58,133.34,"trawlers",0.751805555555556
"122",-10.57,133.43,"trawlers",0.312361111111111
"123",-10.57,133.45,"trawlers",0.806666666666667
"124",-10.57,133.41,"trawlers",0.354027777777778
"125",-10.3,129.6,"trawlers",4.52847222222222
"228",5.63,95.33,"fixed_gear",1.47861111111111
"229",5.63,95.34,"fixed_gear",0.293333333333333
"230",5.63,95.32,"fixed_gear",0.332916666666667
"232",5.64,95.32,"fixed_gear",0.675
"234",5.65,95.34,"fixed_gear",1.75236111111111
"247",1.19,103.86,"purse_seines",3.43763888888889
"249",1.2,103.84,"purse_seines",3.25777777777778
"250",1.21,103.81,"purse_seines",0.543611111111111
