"lat_bin","lon_bin","geartype","fishing_hours","sst","chlorophyll"
-12.27,130.57,"trawlers",0,27.6299991607666,1.76915255568007
-12.28,130.59,"trawlers",0,27.6299991607666,1.76915255568007
-9.37,135.73,"trawlers",1.47513888888889,26.5299987792969,0.244661222584546
-12.3,130.62,"trawlers",0,27.6299991607666,1.76915255568007
2.16,125.52,"trawlers",0,28.8699989318848,0.196679752135246
-12.31,130.64,"trawlers",0,27.6299991607666,1.76915255568007
-12.33,130.66,"trawlers",0,27.6299991607666,1.76915255568007
5.04,125.55,"trawlers",0,29,0.112782687572393
5.03,125.55,"trawlers",0,29,0.112782687572393
5.06,125.59,"trawlers",0,29,0.112782687572393
-12.37,130.71,"trawlers",0,27.6299991607666,1.76915255568007
5.06,125.6,"trawlers",0,29,0.112782687572393
-12.39,130.73,"trawlers",0,27.6299991607666,1.76915255568007
-12.39,130.74,"trawlers",0,27.6299991607666,1.76915255568007
5.09,125.63,"trawlers",0,29,0.112782687572393
2.33,125.63,"trawlers",0,29,0.196679752135246
2.32,125.63,"trawlers",0,29,0.196679752135246
-12.41,130.75,"trawlers",0,27.8899993896484,1.76915255568007
-12.42,130.76,"trawlers",0,27.8899993896484,1.76915255568007
-12.41,130.76,"trawlers",0,27.8899993896484,1.76915255568007
2.36,125.66,"trawlers",0,29,0.196679752135246
-12.44,130.78,"trawlers",0,27.8899993896484,1.76915255568007
-12.45,130.78,"trawlers",0,27.8899993896484,1.76915255568007
-12.45,130.79,"trawlers",0,27.8899993896484,1.76915255568007
-12.47,130.8,"trawlers",0,27.8899993896484,1.76915255568007
-12.48,130.81,"trawlers",0,27.8899993896484,1.76915255568007
-12.48,130.82,"trawlers",0,27.8899993896484,1.76915255568007
-12.46,130.84,"trawlers",0,27.8899993896484,1.76915255568007
-12.48,130.84,"trawlers",0,27.8899993896484,1.76915255568007
-12.47,130.85,"trawlers",0,27.8899993896484,1.76915255568007
-12.46,130.85,"trawlers",0,27.8899993896484,1.76915255568007
-10.51,128.52,"trawlers",8.66097222222222,27.4300003051758,0.338987656188815
5.96,85.09,"trawlers",0,28.9200000762939,0.202923460526669
5.96,85.14,"trawlers",0,28.9200000762939,0.202923460526669
5.44,126.1,"trawlers",0,29.1399993896484,0.0684290365941489
5.96,85.19,"trawlers",0,28.9200000762939,0.202923460526669
5.97,85.24,"trawlers",0,28.9200000762939,0.202923460526669
-10.55,128.79,"trawlers",7.13847222222222,27.3899993896484,0.338987656188815
-10.55,128.81,"trawlers",0.391805555555556,27.3899993896484,0.338987656188815
-10.56,128.83,"trawlers",3.21541666666667,27.3899993896484,0.338987656188815
-11.81,136.51,"trawlers",0,26.3199996948242,0.785240817500884
3.3,100.82,"trawlers",6.79388888888889,29.439998626709,NA
3.27,100.84,"trawlers",0.917638888888889,29.439998626709,NA
3.26,100.85,"trawlers",8.78972222222222,29.439998626709,NA
3.18,100.87,"trawlers",1.5,29.5,NA
3.24,100.87,"trawlers",5.70819444444444,29.5,NA
3.17,100.87,"trawlers",0.164722222222222,29.5,NA
3.16,100.88,"trawlers",7.12708333333333,29.5,NA
-10.36,129.08,"trawlers",4.88555555555556,27.3599987030029,0.451739471615889
7.96,98.38,"trawlers",0,NA,NA
3.4,100.94,"trawlers",12.9922222222222,29.439998626709,NA
-5.54,136.78,"trawlers",0,26.1199989318848,1.44711106830789
-5.55,136.78,"trawlers",0,26.1199989318848,1.44711106830789
3.28,100.95,"trawlers",2.28986111111111,29.439998626709,NA
3.26,100.95,"trawlers",5.29333333333333,29.439998626709,NA
3.25,100.95,"trawlers",0.16625,29.439998626709,NA
3.25,100.96,"trawlers",1.83166666666667,29.439998626709,NA
3.24,100.97,"trawlers",4.41583333333333,29.5,NA
3.22,100.98,"trawlers",0.999861111111111,29.5,NA
3.23,100.98,"trawlers",0.541944444444444,29.5,NA
3.2,100.99,"trawlers",0.706666666666667,29.5,NA
-12.17,136.83,"trawlers",0,26.4099998474121,0.585810941126611
-5.76,136.83,"trawlers",0,26.2299995422363,1.44711106830789
-5.92,136.86,"trawlers",0,26.2299995422363,1.44711106830789
5.86,126.65,"trawlers",0,29.2899990081787,0.0684290365941489
-6.09,136.89,"trawlers",0,26.2199993133545,2.19889461222817
3.48,101.06,"trawlers",0,29.439998626709,NA
3.3,101.08,"trawlers",0,29.439998626709,NA
3.35,101.08,"trawlers",0,29.439998626709,NA
3.31,101.08,"trawlers",0,29.439998626709,NA
1.31,103.64,"trawlers",0,NA,3.25736355781555
1.29,103.64,"trawlers",0,NA,3.25736355781555
3.5,101.09,"trawlers",0,29.3799991607666,NA
3.27,101.09,"trawlers",0,29.439998626709,NA
1.24,103.65,"trawlers",0,29.6700000762939,3.25736355781555
1.25,103.65,"trawlers",0,NA,3.25736355781555
1.27,103.65,"trawlers",0,NA,3.25736355781555
5.89,126.69,"trawlers",0,29.2899990081787,0.0684290365941489
3.24,101.1,"trawlers",0,29.5699996948242,NA
1.22,103.67,"trawlers",0,29.6700000762939,3.25736355781555
5.91,126.72,"trawlers",0,29.2899990081787,0.0684290365941489
1.22,103.69,"trawlers",0,29.6700000762939,3.25736355781555
1.22,103.7,"trawlers",0,29.6700000762939,3.25736355781555
5.93,126.75,"trawlers",0,29.25,0.0684290365941489
5.94,126.75,"trawlers",0,29.25,0.0684290365941489
1.22,103.72,"trawlers",0,29.6700000762939,3.25736355781555
1.29,103.72,"trawlers",0.658333333333333,NA,3.25736355781555
1.22,103.73,"trawlers",0,29.6700000762939,3.25736355781555
1.29,103.73,"trawlers",0,NA,3.25736355781555
1.29,103.75,"trawlers",11.3440277777778,NA,3.25736355781555
1.22,103.75,"trawlers",0,NA,3.25736355781555
5.96,126.79,"trawlers",0,29.25,0.0684290365941489
5.99,85.84,"trawlers",0,28.75,0.202923460526669
1.21,103.76,"trawlers",0,NA,3.25736355781555
1.21,103.78,"trawlers",0,NA,3.25736355781555
1.21,103.79,"trawlers",0,NA,3.25736355781555
1.21,103.81,"trawlers",0,NA,3.25736355781555
1.21,103.82,"trawlers",0,NA,3.25736355781555
1.21,103.83,"trawlers",0,NA,3.25736355781555
-11.96,111.51,"trawlers",0,25.939998626709,0.241591976678118
1.21,103.85,"trawlers",0,NA,3.25736355781555
1.23,103.9,"trawlers",0,NA,3.25736355781555
1.25,103.95,"trawlers",0,NA,3.25736355781555
1.26,103.98,"trawlers",0,NA,3.25736355781555
1.29,124.47,"trawlers",0,29.439998626709,0.164212656500084
1.38,124.48,"trawlers",0,29.439998626709,0.164212656500084
1.26,104.01,"trawlers",0,29.3999996185303,NA
1.26,124.49,"trawlers",0,29.439998626709,0.164212656500084
1.39,124.49,"trawlers",0,29.439998626709,0.164212656500084
1.38,124.49,"trawlers",0,29.439998626709,0.164212656500084
1.4,124.51,"trawlers",0,29.3299999237061,0.164212656500084
1.27,104.04,"trawlers",0,29.3999996185303,NA
1.24,124.52,"trawlers",0,NA,0.164212656500084
1.2,124.55,"trawlers",0,NA,0.164212656500084
1.22,124.56,"trawlers",0,NA,0.164212656500084
1.45,124.58,"trawlers",0,29.3299999237061,0.164212656500084
1.47,124.61,"trawlers",0,29.3299999237061,0.164212656500084
1.51,124.68,"trawlers",0,29.4200000762939,0.164212656500084
-3.4,114.49,"trawlers",0,NA,2.19770935262953
-3.41,114.49,"trawlers",0,NA,2.19770935262953
-3.39,114.5,"trawlers",0,NA,2.19770935262953
-3.38,114.5,"trawlers",0,NA,2.19770935262953
1.56,124.74,"trawlers",0,29.4200000762939,0.164212656500084
-12.52,137.54,"trawlers",3.85097222222222,26.5900001525879,0.229620025756963
-3.38,114.51,"trawlers",0,NA,2.19770935262953
-3.37,114.51,"trawlers",0,NA,2.19770935262953
-3.37,114.52,"trawlers",0,NA,2.19770935262953
1.58,124.77,"trawlers",0,28.9599990844727,0.164212656500084
-12.46,137.57,"trawlers",0,26.5599994659424,0.229620025756963
-12.47,137.59,"trawlers",0.250972222222222,26.5599994659424,0.229620025756963
-12.48,137.59,"trawlers",0.26875,26.5599994659424,0.229620025756963
-12.49,137.59,"trawlers",0.596527777777778,26.5599994659424,0.229620025756963
-6.1,106.88,"trawlers",0,NA,5.32449913024902
1.6,124.8,"trawlers",0,28.9599990844727,0.164212656500084
-12.51,137.61,"trawlers",3.89277777777778,26.5900001525879,0.229620025756963
1.63,124.83,"trawlers",0,28.9599990844727,0.164212656500084
1.69,124.87,"trawlers",0,28.9599990844727,0.164212656500084
1.74,124.9,"trawlers",0,28.9599990844727,0.164212656500084
-11.36,130.02,"trawlers",0,27.2899990081787,1.60607049406804
1.75,124.91,"trawlers",0,29.519998550415,0.164212656500084
-11.31,130.03,"trawlers",0,27.2899990081787,1.60607049406804
6.03,86.52,"trawlers",0,28.7799987792969,0.166926206304477
-11.27,130.04,"trawlers",0,27.2899990081787,1.60607049406804
4.63,124.93,"trawlers",0,29.1399993896484,0.0955695500231581
1.78,124.94,"trawlers",0,29.519998550415,0.164212656500084
1.8,124.95,"trawlers",0,29.519998550415,0.164212656500084
6.03,86.57,"trawlers",0,28.7799987792969,0.166926206304477
1.84,124.98,"trawlers",0,29.519998550415,0.164212656500084
1.87,125,"trawlers",0,29.0999984741211,0.757821323245676
6.03,86.61,"trawlers",0,28.7799987792969,0.166926206304477
1.91,125.03,"trawlers",0,29.0999984741211,0.757821323245676
6.03,86.68,"trawlers",0,28.7799987792969,0.166926206304477
-9.36,135.35,"trawlers",4.29555555555556,26.5999984741211,0.244661222584546
6.03,86.72,"trawlers",0,28.7799987792969,0.166926206304477
6.03,86.78,"trawlers",0,28.769998550415,0.166926206304477
6.03,86.83,"trawlers",0,28.769998550415,0.166926206304477
-2.34,104.81,"trawlers",0,NA,NA
-12.22,130.48,"trawlers",0,27.269998550415,1.76915255568007
-12.23,130.5,"trawlers",0,27.439998626709,1.76915255568007
-12.24,130.53,"trawlers",0,27.439998626709,1.76915255568007
-12.26,130.55,"trawlers",0,27.6299991607666,1.76915255568007
-9.32,135.67,"trawlers",0.659305555555556,26.5299987792969,0.244661222584546
-9.36,135.67,"trawlers",5.11138888888889,26.5299987792969,0.244661222584546
1.21,103.66,"fixed_gear",0,29.6700000762939,3.25736355781555
1.22,103.68,"fixed_gear",0,29.6700000762939,3.25736355781555
1.24,103.71,"fixed_gear",0,29.6700000762939,3.25736355781555
1.3,103.72,"fixed_gear",0,NA,3.25736355781555
1.28,103.73,"fixed_gear",0,NA,3.25736355781555
1.29,103.73,"fixed_gear",0,NA,3.25736355781555
1.26,103.73,"fixed_gear",0,NA,3.25736355781555
4.41,113.99,"fixed_gear",0,29.8499984741211,0.542225235036096
1.31,104.02,"fixed_gear",0.0261111111111111,29.3999996185303,NA
3.68,138.45,"purse_seines",0,29.0399990081787,0.102595240983901
3.68,138.46,"purse_seines",0,29.0399990081787,0.102595240983901
5.58,130.79,"purse_seines",0,28.939998626709,0.0990930116978975
3.65,138.53,"purse_seines",0,29.1199989318848,0.102595240983901
3.65,138.54,"purse_seines",0,29.1199989318848,0.102595240983901
4.55,136.01,"purse_seines",0,28.8499984741211,0.070126051583793
3.62,138.6,"purse_seines",0,29.1199989318848,0.102595240983901
4.53,136.07,"purse_seines",0,28.8499984741211,0.070126051583793
3.59,138.68,"purse_seines",0,29.1199989318848,0.102595240983901
4.5,136.14,"purse_seines",0,28.8499984741211,0.070126051583793
3.59,138.7,"purse_seines",0,29.1199989318848,0.102595240983901
4.5,136.16,"purse_seines",0,28.8499984741211,0.070126051583793
4.49,136.2,"purse_seines",0,28.8899993896484,0.070126051583793
3.55,138.77,"purse_seines",0,29.1199989318848,0.102595240983901
4.48,136.22,"purse_seines",0,28.8899993896484,0.070126051583793
4.47,136.23,"purse_seines",0,28.8899993896484,0.070126051583793
3.53,138.83,"purse_seines",0,29.1199989318848,0.102595240983901
3.53,138.84,"purse_seines",0,29.1199989318848,0.102595240983901
5.6,131.17,"purse_seines",0,29.0100002288818,0.101858555698414
3.52,138.85,"purse_seines",0,29.1199989318848,0.102595240983901
4.45,136.3,"purse_seines",0,28.9300003051758,0.070126051583793
4.45,136.31,"purse_seines",0,28.9300003051758,0.070126051583793
5.6,131.23,"purse_seines",0,29.0100002288818,0.101858555698414
3.5,138.91,"purse_seines",0,29.1199989318848,0.102595240983901
3.49,138.93,"purse_seines",0,29.0599994659424,0.102595240983901
4.42,136.39,"purse_seines",0,28.9300003051758,0.070126051583793
3.47,138.98,"purse_seines",0,29.0599994659424,0.102595240983901
3.46,139,"purse_seines",0,29.0499992370605,0.0986126576405597
3.44,139.05,"purse_seines",0,29.0499992370605,0.0986126576405597
3.44,139.06,"purse_seines",0,29.0499992370605,0.0986126576405597
5.5,128.87,"purse_seines",0,28.9799995422363,NA
5.51,128.95,"purse_seines",0,28.9799995422363,NA
3.38,139.21,"purse_seines",0,29.0499992370605,0.0986126576405597
4.3,136.76,"purse_seines",0,28.9300003051758,0.070126051583793
4.3,136.77,"purse_seines",0,28.9300003051758,0.070126051583793
4.29,136.77,"purse_seines",0,28.9300003051758,0.070126051583793
4.29,136.78,"purse_seines",0,28.9300003051758,0.070126051583793
4.29,136.79,"purse_seines",0,28.9300003051758,0.070126051583793
5.52,129.16,"purse_seines",0,28.9799995422363,0.088746936501641
1.21,103.57,"purse_seines",0,29.6700000762939,3.25736355781555
1.21,103.6,"purse_seines",0,29.6700000762939,3.25736355781555
1.2,103.63,"purse_seines",0,29.6700000762939,3.25736355781555
5.52,129.23,"purse_seines",0,28.9799995422363,0.088746936501641
1.23,103.64,"purse_seines",0.572361111111111,29.6700000762939,3.25736355781555
1.25,103.65,"purse_seines",0,NA,3.25736355781555
1.22,103.65,"purse_seines",0,29.6700000762939,3.25736355781555
1.23,103.65,"purse_seines",0,29.6700000762939,3.25736355781555
1.27,103.66,"purse_seines",0,NA,3.25736355781555
1.22,103.66,"purse_seines",0,29.6700000762939,3.25736355781555
1.28,103.67,"purse_seines",0,NA,3.25736355781555
1.21,103.67,"purse_seines",0,29.6700000762939,3.25736355781555
1.29,103.68,"purse_seines",0,NA,3.25736355781555
1.22,103.68,"purse_seines",0,29.6700000762939,3.25736355781555
1.3,103.69,"purse_seines",0,NA,3.25736355781555
1.22,103.69,"purse_seines",0,29.6700000762939,3.25736355781555
1.3,103.69,"purse_seines",0,NA,3.25736355781555
