"lat_bin","lon_bin","geartype","fishing_hours","sst","chlorophyll"
-5.1,127.01,"trawlers",0,28.3899993896484,0.161349956711678
-5.09,127.19,"trawlers",0,28.3899993896484,0.161349956711678
-5.09,127.11,"trawlers",0,28.3899993896484,0.161349956711678
-5.09,127.25,"trawlers",0,28.3999996185303,0.161349956711678
-10.13,123.19,"trawlers",8.39180555555556,28.4300003051758,0.231757873158764
-12.68,128.93,"trawlers",0.295972222222222,29.7999992370605,0.258974196628118
-12.68,128.95,"trawlers",6.77875,29.7999992370605,0.258974196628118
-12.67,128.92,"trawlers",11.5433333333333,29.7999992370605,0.258974196628118
-12.53,128.64,"trawlers",5.71875,29.8099994659424,0.258974196628118
-12.48,130.84,"trawlers",0,29.7999992370605,1.20132921359369
-12.48,130.83,"trawlers",0,29.7999992370605,1.20132921359369
-12.47,130.85,"trawlers",0,29.7999992370605,1.20132921359369
-12.47,130.81,"trawlers",0,29.7999992370605,1.20132921359369
-12.46,130.85,"trawlers",0,29.7999992370605,1.20132921359369
-12.46,130.8,"trawlers",0,29.7999992370605,1.20132921359369
-12.43,130.78,"trawlers",0,29.7999992370605,1.20132921359369
-12.42,130.77,"trawlers",0,29.7999992370605,1.20132921359369
-12.4,130.76,"trawlers",0,29.7999992370605,1.20132921359369
-12.39,130.75,"trawlers",0,29.7999992370605,1.20132921359369
-12.37,130.75,"trawlers",0,29.7999992370605,1.20132921359369
-12.36,130.75,"trawlers",0,29.7999992370605,1.20132921359369
-12.34,130.76,"trawlers",0,29.7999992370605,1.20132921359369
-12.32,130.77,"trawlers",0,29.7999992370605,1.20132921359369
-12.29,130.78,"trawlers",0,29.7999992370605,1.20132921359369
-12.28,130.79,"trawlers",0,29.7999992370605,1.20132921359369
-12.26,130.79,"trawlers",0,29.7999992370605,1.20132921359369
-12.24,130.8,"trawlers",0,29.4799995422363,1.20132921359369
-12.21,130.82,"trawlers",0,29.4799995422363,1.20132921359369
-12.17,130.85,"trawlers",0,29.4799995422363,1.20132921359369
-12.13,130.88,"trawlers",0,29.4799995422363,1.20132921359369
-12.1,130.91,"trawlers",0,29.4799995422363,1.20132921359369
-12.07,130.93,"trawlers",0,29.4799995422363,1.20132921359369
-12.05,130.97,"trawlers",0,29.4799995422363,1.20132921359369
-12.03,131,"trawlers",0,29.5100002288818,2.02027741204137
-11.98,131.09,"trawlers",0,29.4299983978271,1.48858748751742
-11.97,131.11,"trawlers",0,29.4299983978271,1.48858748751742
-11.95,131.14,"trawlers",0,29.4299983978271,1.48858748751742
-11.93,131.17,"trawlers",0,29.4299983978271,1.48858748751742
-11.9,131.19,"trawlers",0,29.4299983978271,1.48858748751742
-11.88,131.22,"trawlers",0,29.4299983978271,1.48858748751742
-11.85,131.24,"trawlers",0,29.4299983978271,1.48858748751742
-11.83,131.27,"trawlers",0,29.4699993133545,1.48858748751742
-6.59,110.62,"trawlers",0,29.6599998474121,0.155586591284526
-6.55,110.6,"trawlers",0,29.6599998474121,0.155586591284526
-11.66,131.44,"trawlers",0,29.5,1.48858748751742
-11.64,131.47,"trawlers",0,29.5,1.48858748751742
