"lat_bin","lon_bin","geartype","fishing_hours"
-10.13,135.38,"trawlers",3.20833333333333
-10.12,135.41,"trawlers",0.220694444444444
-10.12,135.55,"trawlers",1.53763888888889
-10.12,135.43,"trawlers",0.162638888888889
-10.12,135.42,"trawlers",0.158333333333333
-10.12,135.44,"trawlers",0.225277777777778
-10.11,135.47,"trawlers",0.670555555555556
-10.11,135.46,"trawlers",0.245694444444444
-10.08,135.61,"trawlers",3.09986111111111
-9.77,136.82,"trawlers",0.166944444444444
-9.77,136.81,"trawlers",1.52083333333333
-9.77,136.63,"trawlers",4.27513888888889
-9.76,136.81,"trawlers",0.274722222222222
-9.73,136.62,"trawlers",4.79166666666667
-9.72,136.78,"trawlers",3.26305555555556
-9.72,136.76,"trawlers",0.403611111111111
-9.72,136.73,"trawlers",0.2625
-9.71,136.67,"trawlers",2.67055555555556
-9.71,136.73,"trawlers",0.0372222222222222
-9.71,136.72,"trawlers",0.179166666666667
-9.71,136.7,"trawlers",0.283472222222222
-9.71,136.68,"trawlers",0.0961111111111111
-9.71,136.69,"trawlers",0.120972222222222
-9.7,136.43,"trawlers",1.78763888888889
-9.69,136.38,"trawlers",2.76236111111111
-9.69,136.41,"trawlers",0.387777777777778
-10.59,134.27,"trawlers",2.88361111111111
-10.58,134.26,"trawlers",0.616944444444445
-10.53,134.29,"trawlers",0.591666666666667
-10.52,134.3,"trawlers",0.240555555555556
-10.51,134.31,"trawlers",0.605277777777778
-10.49,134.19,"trawlers",2.77055555555556
-10.49,134.18,"trawlers",0.341527777777778
-10.47,134.15,"trawlers",3.09611111111111
-10.39,130.2,"trawlers",0.108472222222222
-10.39,130.13,"trawlers",2.69680555555556
-10.39,130.15,"trawlers",0.320972222222222
-10.39,130.22,"trawlers",0.129027777777778
-10.39,130.18,"trawlers",0.204027777777778
-10.39,130.19,"trawlers",5.42013888888889
-10.39,130.17,"trawlers",0.229444444444444
-10.38,130.23,"trawlers",3.96583333333333
-10.33,130.47,"trawlers",1.51222222222222
-10.32,128.73,"drifting_longlines",12.2525
-10.31,130.47,"trawlers",0.112777777777778
-10.31,130.46,"trawlers",0.175277777777778
-10.29,130.46,"trawlers",5.74777777777778
-10.29,128.74,"drifting_longlines",11.6611111111111
5.29,134.7,"drifting_longlines",0.295972222222222
5.29,134.58,"drifting_longlines",5.88930555555556
5.29,134.63,"drifting_longlines",0.463055555555556
5.29,134.72,"drifting_longlines",5.82361111111111
5.38,135.04,"drifting_longlines",6.05291666666667
5.38,135.12,"drifting_longlines",2.01527777777778
5.56,95.31,"purse_seines",6.84541666666667
5.57,95.26,"purse_seines",2.04138888888889
1.2,103.64,"fixed_gear",0.274027777777778
1.21,103.6,"fixed_gear",0.282083333333333
1.22,103.58,"fixed_gear",3.18611111111111
1.23,103.65,"fixed_gear",0.2875
2.73,103.69,"trawlers",1.58319444444444
2.74,103.68,"trawlers",1.19875
2.74,103.71,"trawlers",8.90152777777778
2.74,103.69,"trawlers",0.525555555555556
2.75,103.7,"trawlers",1.21930555555556
2.75,103.78,"trawlers",6.85972222222222
2.75,103.79,"trawlers",19.74375
2.76,103.76,"trawlers",8.17736111111111
2.76,103.74,"trawlers",1.82416666666667
7.97,98.52,"fixed_gear",9.08111111111111
7.97,98.45,"fixed_gear",0.843888888888889
7.98,98.45,"fixed_gear",0.909583333333333
7.98,98.52,"fixed_gear",1.1775
2.9,132.92,"drifting_longlines",3.20833333333333
2.98,133.08,"drifting_longlines",1.05805555555556
3.03,133.11,"drifting_longlines",5.71388888888889
3.42,133.37,"drifting_longlines",11.7494444444444
1.21,103.82,"purse_seines",0.811944444444444
