"","lat_bin","lon_bin","geartype","fishing_hours"
"3",-7.24,137.74,"trawlers",2.49458333333333
"8",-6.84,138.06,"trawlers",10.8669444444444
"28",-6.11,107.83,"trawlers",1.68486111111111
"30",-8.62,136.91,"trawlers",0.729166666666667
"31",-8.6,136.82,"trawlers",12.5091666666667
"33",-5.98,107.73,"trawlers",1.85430555555556
"34",-5.94,107.95,"trawlers",3.60430555555556
"35",-5.92,107.92,"trawlers",2.82958333333333
"36",-5.92,107.78,"trawlers",2.73041666666667
"112",1.3,103.72,"purse_seines",0.617083333333333
"134",-0.59,141.43,"purse_seines",2.25486111111111
"136",-0.59,141.41,"purse_seines",1.22069444444444
"162",-0.49,141.5,"purse_seines",0.937777777777778
"163",-0.49,141.77,"purse_seines",1.90638888888889
"164",-0.49,141.51,"purse_seines",0.957777777777778
"166",-0.46,141.79,"purse_seines",1.10875
"192",-6.85,138.04,"squid_jigger",11.0055555555556
"229",1.93,138.55,"drifting_longlines",5.52416666666667
"230",-0.54,85.12,"drifting_longlines",1.80833333333333
"232",2.13,138.62,"drifting_longlines",8.39541666666667
"233",2.18,138.46,"drifting_longlines",11.7818055555556
"234",-2.9,85.84,"drifting_longlines",15.3934722222222
