"lat_bin","lon_bin","geartype","fishing_hours","sst","chlorophyll"
-10.2,130.21,"drifting_longlines",0.800416666666667,30.0599994659424,0.181349174847509
-10.19,130.21,"drifting_longlines",0.15,30.0599994659424,0.181349174847509
-10.19,130.28,"drifting_longlines",0.516527777777778,30.0900001525879,0.181349174847509
-12.74,125.15,"drifting_longlines",3.99597222222222,30.7199993133545,0.134794312654531
-12.74,125.1,"drifting_longlines",11.8811111111111,30.7199993133545,0.134794312654531
-12.7,125.19,"drifting_longlines",7.63986111111111,30.7199993133545,0.134794312654531
-12.69,125.19,"drifting_longlines",3.69208333333333,30.7199993133545,0.134794312654531
-10.13,129.33,"drifting_longlines",13.6166666666667,30.2899990081787,0.26637805947294
-10.12,129.34,"drifting_longlines",0,30.2899990081787,0.26637805947294
-10.91,137.42,"trawlers",0,29.8799991607666,0.311948648812074
-10.9,137.41,"trawlers",0,29.8799991607666,0.311948648812074
-10.87,137.38,"trawlers",0,29.8799991607666,0.311948648812074
-10.85,137.33,"trawlers",0,29.8799991607666,0.311948648812074
-10.85,137.34,"trawlers",0,29.8799991607666,0.311948648812074
-10.56,136.82,"trawlers",0,29.75,0.465607713375773
-10.52,136.75,"trawlers",0,29.75,0.465607713375773
-10.51,136.72,"trawlers",0,29.8499984741211,0.465607713375773
-10.48,136.66,"trawlers",0,29.7399997711182,0.465607713375773
-10.43,136.57,"trawlers",0,29.7399997711182,0.465607713375773
-10.41,136.52,"trawlers",0,29.7399997711182,0.465607713375773
-10.4,136.46,"trawlers",0,29.8999996185303,0.465607713375773
-10.35,136.29,"trawlers",0,29.8999996185303,0.465607713375773
-2.29,93.8,"squid_jigger",0,28.7899990081787,0.0947531973866145
0.43,116.74,"drifting_longlines",0,NA,NA
0.44,116.75,"drifting_longlines",0.8475,NA,NA
0.45,116.74,"drifting_longlines",0,NA,NA
0.46,116.71,"drifting_longlines",0,NA,NA
0.46,116.73,"drifting_longlines",0,NA,NA
0.47,116.71,"drifting_longlines",0.229444444444444,NA,NA
0.47,116.7,"drifting_longlines",0.24125,NA,NA
0.47,116.76,"drifting_longlines",0.750694444444444,NA,NA
0.47,116.74,"drifting_longlines",0.232083333333333,NA,NA
0.47,116.73,"drifting_longlines",0.234583333333333,NA,NA
0.48,116.7,"drifting_longlines",0,NA,NA
