"lat_bin","lon_bin","geartype","fishing_hours"
-7.35,137.24,"trawlers",1.79361111111111
-7.34,137.15,"trawlers",5.93805555555556
-7.34,137.14,"trawlers",1.00013888888889
-7.34,137.43,"trawlers",10.0076388888889
-7.31,137.2,"trawlers",10.0448611111111
-7.31,137.29,"trawlers",0.145277777777778
-7.31,137.3,"trawlers",11.7159722222222
-7.31,137.12,"trawlers",10.9031944444444
-7.31,137.28,"trawlers",1.75
-7.3,137.36,"trawlers",5.06513888888889
-6.84,137.84,"trawlers",11.7393055555556
-6.52,138.01,"trawlers",4.60791666666667
-8.61,136.83,"trawlers",16.80375
-8.61,136.84,"trawlers",11.7376388888889
-8.58,136.73,"trawlers",5.865
-6.02,107.62,"trawlers",7.91666666666667
-5.86,105.99,"trawlers",0.301805555555556
-5.86,106.01,"trawlers",5.28361111111111
-5.86,105.94,"trawlers",0.299861111111111
-5.86,105.96,"trawlers",0.325416666666667
-5.86,105.93,"trawlers",3.77680555555556
-5.85,105.91,"trawlers",0.511527777777778
-5.85,105.87,"trawlers",0.446111111111111
-5.85,105.86,"trawlers",0.458333333333333
-5.85,105.84,"trawlers",5.78583333333333
-5.85,105.89,"trawlers",0.49125
-5.85,105.83,"trawlers",3.85958333333333
-5.84,105.82,"trawlers",4.28944444444445
-5.77,107.51,"trawlers",6.65263888888889
7.62,137.46,"trawlers",5.12930555555556
-12.42,130.77,"fixed_gear",1.26805555555556
-12.42,130.75,"fixed_gear",0.224027777777778
-12.42,130.74,"fixed_gear",0.144722222222222
5.22,140.89,"drifting_longlines",11.7330555555556
5.22,140.9,"drifting_longlines",2.77944444444444
-10.13,92.9,"drifting_longlines",2.38472222222222
-10.12,92.96,"drifting_longlines",3.56027777777778
-10.08,92.86,"drifting_longlines",2.29847222222222
5.29,141.59,"drifting_longlines",3.47125
5.3,141.26,"drifting_longlines",10.8459722222222
5.3,141.59,"drifting_longlines",1.84180555555556
5.31,141.37,"drifting_longlines",3.60833333333333
5.32,141.57,"drifting_longlines",3.20430555555556
-10,91.92,"drifting_longlines",0.841805555555555
-10,91.93,"drifting_longlines",2.83069444444444
-9.99,92.83,"drifting_longlines",1.39986111111111
-9.98,92.82,"drifting_longlines",0.486111111111111
-9.97,93.28,"drifting_longlines",1.61763888888889
-9.97,93.29,"drifting_longlines",0.803055555555556
-9.94,93.34,"drifting_longlines",2.77944444444444
-9.94,91.88,"drifting_longlines",3.16458333333333
-9.9,92.82,"drifting_longlines",4.235
-9.88,93.15,"drifting_longlines",5.17805555555556
-9.88,92.88,"drifting_longlines",5.38486111111111
-9.86,87.09,"drifting_longlines",0.0279166666666667
-9.86,87.08,"drifting_longlines",1.98
-9.86,87.06,"drifting_longlines",3.62013888888889
-9.85,87.09,"drifting_longlines",0.836111111111111
-9.82,87.01,"drifting_longlines",2.42027777777778
-9.74,87.09,"drifting_longlines",2.39097222222222
-9.73,93.25,"drifting_longlines",2.37736111111111
-9.72,93.08,"drifting_longlines",2.01263888888889
-9.72,93.07,"drifting_longlines",2.36791666666667
-9.69,86.54,"drifting_longlines",4.42638888888889
-9.66,91.74,"drifting_longlines",2.65513888888889
-9.63,91.7,"drifting_longlines",3.06569444444444
-9.63,86.2,"drifting_longlines",2.82236111111111
-9.63,86.21,"drifting_longlines",2.40958333333333
-9.62,93.14,"drifting_longlines",2.38527777777778
-9.62,86.93,"drifting_longlines",0.00833333333333333
-9.62,86.94,"drifting_longlines",0.0601388888888889
-9.62,86.95,"drifting_longlines",2.41027777777778
-9.61,86.93,"drifting_longlines",1.97375
-9.61,93.23,"drifting_longlines",2.92791666666667
-9.56,86.98,"drifting_longlines",2.69458333333333
-9.52,87.07,"drifting_longlines",1.78958333333333
-9.49,93.14,"drifting_longlines",1.10083333333333
-9.49,87.07,"drifting_longlines",0.765833333333333
-9.45,93.14,"drifting_longlines",2.16472222222222
-9.43,87.07,"drifting_longlines",0.917916666666667
-9.41,86.94,"drifting_longlines",1.98111111111111
-9.39,87.06,"drifting_longlines",1.27013888888889
-9.38,91.6,"drifting_longlines",7.47041666666667
-9.36,93.05,"drifting_longlines",3.15902777777778
-9.34,86.37,"drifting_longlines",3.47013888888889
-9.32,86.56,"drifting_longlines",3.15041666666667
-9.31,93.26,"drifting_longlines",3.07361111111111
-9.26,86.93,"drifting_longlines",1.84208333333333
-9.26,87.04,"drifting_longlines",1.85138888888889
-9.25,91.5,"drifting_longlines",3.20055555555556
-9.24,93.06,"drifting_longlines",1.15263888888889
-9.2,86.57,"drifting_longlines",1.11111111111111
-9.19,91.47,"drifting_longlines",1.21430555555556
-9.19,93.07,"drifting_longlines",1.22
-9.18,91.45,"drifting_longlines",2.28430555555556
-9.18,86.38,"drifting_longlines",2.92958333333333
-9.17,93.28,"drifting_longlines",1.31833333333333
-9.14,86.57,"drifting_longlines",2.17458333333333
-9.13,87.04,"drifting_longlines",1.80763888888889
-9.12,93.18,"drifting_longlines",2.74347222222222
-9.12,86.9,"drifting_longlines",1.86152777777778
-9.11,93.29,"drifting_longlines",1.21833333333333
-9.07,93.09,"drifting_longlines",1.81541666666667
-9.02,87.03,"drifting_longlines",1.28375
-8.98,86.87,"drifting_longlines",1.28097222222222
-8.97,86.9,"drifting_longlines",2.60916666666667
-8.97,86.89,"drifting_longlines",1.86097222222222
-8.97,87.01,"drifting_longlines",0.9425
-8.95,93.21,"drifting_longlines",1.31555555555556
-8.93,93.12,"drifting_longlines",1.85541666666667
-8.92,93.25,"drifting_longlines",4.13347222222222
-8.92,86.86,"drifting_longlines",0.905277777777778
-8.91,86.85,"drifting_longlines",2.315
-8.91,87,"drifting_longlines",0.789027777777778
-8.88,93.22,"drifting_longlines",0.880555555555556
-8.88,86.4,"drifting_longlines",3.15486111111111
-8.88,86.29,"drifting_longlines",13.22375
-8.87,86.99,"drifting_longlines",0.901388888888889
-8.86,87.01,"drifting_longlines",0.759305555555556
-8.86,87.02,"drifting_longlines",0.949027777777778
-8.85,86.59,"drifting_longlines",2.72861111111111
-8.82,93.23,"drifting_longlines",0.784305555555556
-8.81,93.2,"drifting_longlines",0.340555555555556
-8.8,93.13,"drifting_longlines",2.12513888888889
-8.8,93.2,"drifting_longlines",1.52930555555556
-8.77,86.61,"drifting_longlines",2.60166666666667
-8.76,86.61,"drifting_longlines",0.780416666666667
-8.72,86.6,"drifting_longlines",1.30027777777778
-8.71,93.19,"drifting_longlines",4.92430555555555
-8.7,93.17,"drifting_longlines",1.73611111111111
-8.69,86.44,"drifting_longlines",1.34444444444444
-8.69,86.45,"drifting_longlines",0.488611111111111
-8.67,86.6,"drifting_longlines",0.948055555555556
-8.65,86.47,"drifting_longlines",0.96375
-8.65,86.46,"drifting_longlines",0.740138888888889
-8.65,86.44,"drifting_longlines",0.903055555555556
-8.64,86.44,"drifting_longlines",0.794305555555556
-8.63,86.6,"drifting_longlines",0.773333333333333
-8.62,86.64,"drifting_longlines",0.773194444444444
-8.62,86.65,"drifting_longlines",0.92375
-8.62,86.62,"drifting_longlines",0.890277777777778
-10.27,92.93,"drifting_longlines",2.76791666666667
-10.26,92.92,"drifting_longlines",0.812361111111111
-10.26,92.93,"drifting_longlines",0.0472222222222222
